[7.420571809136911, 0.04439667078197411]
[20.170133836397717, 2.5836512227122084]
[20.2870946938071, 5.086013438808159]
[18.273401790630903, -2.776700275872864]
[16.652034930236805, -5.404784614363187]
[4.877292620563061, 1.7535487629021906]
[14.145707247963273, -8.217429692444938]
[11.523695522535075, -10.279039644265534]
[2.3708832935712687, 0.4980721528746175]
[5.527988828978184, -12.792672963550704]
[-0.19575146557435097, 1.0754373964921449]
[-2.858761769460824, -13.429408240957542]
[-5.510332340750395, -13.0890661755402]
[-8.516850208964101, -12.348007673910818]
[-11.06445187335046, -11.557693422857145]
[-13.617580681843407, -10.264853430932472]
[-16.149238283989305, -8.536280501830726]
[-18.818743647560876, -5.765157565644014]
[-21.335530404932907, -1.6092377728423903]
[-22.460134467611915, 7.603775617739256]
[-15.307342574511448, -16.027719027477033]
[-11.38278278541791, -18.675279271795294]
[12.146893063765209, 10.124799681083358]
